人名1	人名2	预测	目标
苗人凤	南兰	夫妻	夫妻
徐帆	冯小刚	夫妻	夫妻
王艳	王志才	夫妻	夫妻
王梓木	敬一丹	夫妻	夫妻
李圣根	晏紫	夫妻	夫妻
史静	史玉柱	父母	父母
薄熙来	薄瓜瓜	夫妻	父母
孙鲁班	孙鲁育	兄弟姐妹	兄弟姐妹
阮小五	阮小七	兄弟姐妹	兄弟姐妹
章亚若	蒋孝慈	父母	父母
蒋孝严	蒋孝慈	父母	兄弟姐妹
蒋经国	蒋孝慈	父母	父母
张末	张艺谋	父母	父母
王政君	王莽	夫妻	亲戚
罗敏庄	陈国邦	夫妻	夫妻
李小璐	贾乃亮	夫妻	情侣
冯远征	梁丹妮	夫妻	夫妻
常东升	张凤岩	父母	师生
李元霸	李渊	夫妻	父母
姜武	宋妍	夫妻	夫妻
何鸿燊	梁安琪	情侣	夫妻
黎民伟	严珊珊	夫妻	夫妻
王怡仁	蓝正龙	情侣	情侣
孙法民	焦廷标	兄弟姐妹	兄弟姐妹
龙云	林黛	父母	父母
虚竹	玄慈	父母	父母
黄睿靓	陈致中	父母	夫妻
黄睿靓	陈幸妤	父母	亲戚
黄睿靓	陈水扁	父母	父母
陈幸妤	陈水扁	父母	父母
陈水扁	吴淑珍	父母	夫妻
钱伟长	孔祥瑛	夫妻	夫妻
司马衷	司马炎	夫妻	父母
郭达昌	林文龙	夫妻	父母
郭可盈	林文龙	夫妻	夫妻
黄志忠	何音	夫妻	夫妻
李菁	何云伟	同门	合作
陆士嘉	张维	夫妻	夫妻
许崇清	许崇智	父母	兄弟姐妹
李孝贞	李敬元	合作	合作
王政君	王莽	父母	亲戚
杨采妮	邱韶智	夫妻	情侣
丁敏君	纪晓芙	夫妻	同门
王怡仁	蓝正龙	夫妻	情侣
朱宏钧	白岩松	夫妻	夫妻
武崇训	武三思	父母	父母
东山纪之	木村佳乃	夫妻	夫妻
袁杰英	袁阔成	父母	亲戚
田汉	安娥	夫妻	夫妻
孙甫亭	王梦云	师生	师生
马景涛	吴佳尼	夫妻	夫妻
郭德纲	张文顺	师生	合作
王弢	刘璇	夫妻	夫妻
曹芳	曹操	父母	祖孙
曹芳	曹楷	父母	父母
蔡惠媚	蒋孝武	父母	夫妻
张菲	费贞绫	兄弟姐妹	兄弟姐妹
金仲仁	王维筠	师生	师生
姚凤凤	吴建豪	师生	兄弟姐妹
麦宝婵	甄子丹	师生	父母
叶挺	叶正大	父母	父母
杨采妮	邱韶智	夫妻	情侣
刘半农	钱玄同	师生	合作
马国贤	张洛君	合作	合作
孙英杰	孙凤有	父母	父母
王恂	郭守敬	父母	合作
高崚	吴圣	夫妻	夫妻
吴小楼	尹桂芳	合作	合作
徐天红	袁雪芬	合作	合作
徐天红	竺水招	合作	合作
徐天红	范瑞娟	合作	合作
傅全香	徐玉兰	合作	合作
袁雪芬	范瑞娟	合作	合作
成龙	林凤娇	父母	夫妻
田灵儿	田不易	父母	父母
汉武帝	王娡	父母	夫妻
宋佳玲	宋祖英	夫妻	兄弟姐妹
廖仲恺	廖梦醒	夫妻	父母
鲍蕾	陆毅	夫妻	夫妻
毛岸英	刘思齐	夫妻	夫妻
张菲	费贞绫	兄弟姐妹	兄弟姐妹
侯耀华	侯耀文	父母	兄弟姐妹
侯耀文	侯瓒	兄弟姐妹	父母
戴乃迭	杨宪益	夫妻	夫妻
苗侨伟	戚美珍	夫妻	夫妻
环夫人	曹冲	父母	父母
曹操	曹宇	父母	父母
刘銮雄	吕丽君	情侣	夫妻
吴君如	陈可辛	夫妻	夫妻
黎洪模	黎志康	合作	父母
苗侨伟	戚美珍	夫妻	夫妻
西施	夫差	夫妻	情侣
袁剑伟	林嘉欣	夫妻	夫妻
元彪	成龙	同门	同门
孙鲁班	孙鲁育	父母	兄弟姐妹
林璎	林孝恂	父母	祖孙
王雪涛	齐白石	父母	师生
杨绛	钱钟书	夫妻	夫妻
李泽楷	梁洛施	夫妻	情侣
林伯渠	林修梅	夫妻	兄弟姐妹
张亚东	窦颖	情侣	夫妻
田中美保	稻本润一	夫妻	夫妻
张洛君	马国贤	合作	合作
松赞干布	文成公主	夫妻	夫妻
毛岸英	刘思齐	夫妻	夫妻
安贞焕	李惠媛	夫妻	夫妻
张宁益	马琳	合作	夫妻
伏明霞	于芬	师生	师生
刘备	刘禅	父母	父母
沈贞吉	沈周	夫妻	亲戚
白炎	彦涵	父母	夫妻
蔡依珊	连胜文	夫妻	夫妻
梦鸽	李双江	夫妻	夫妻
胡因梦	李敖	夫妻	夫妻
彭真	傅彦	父母	父母
张惠妹	张雨生	师生	师生
李清照	赵明诚	师生	夫妻
戴俊英	顾慰连	夫妻	夫妻
吕后	刘邦	夫妻	夫妻
刘邦	汉惠帝	夫妻	父母
常宝华	常宝堃	兄弟姐妹	兄弟姐妹
常宝霆	常宝堃	兄弟姐妹	兄弟姐妹
宋美龄	蒋介石	兄弟姐妹	夫妻
诸葛丰	诸葛亮	父母	亲戚
安贞焕	希丁克	合作	师生
宋美龄	蒋介石	夫妻	夫妻
文爱马	马伊琍	父母	父母
贾君	张萍	夫妻	师生
孙休	孙壾	父母	父母
肖桂云	李前宽	夫妻	夫妻
常宝霆	常宝堃	兄弟姐妹	兄弟姐妹
常宝华	常宝堃	兄弟姐妹	兄弟姐妹
阎立品	梅兰芳	师生	师生
黄睿靓	陈致中	父母	夫妻
孟小冬	梅兰芳	夫妻	情侣
高拱	徐阶	父母	合作
高拱	张居正	夫妻	合作
谢晖	佟晨洁	夫妻	夫妻
冯远征	梁丹妮	夫妻	夫妻
洪天照	曹恩玉	夫妻	父母
洪天照	洪煦榆	兄弟姐妹	兄弟姐妹
洪天祥	洪煦榆	兄弟姐妹	兄弟姐妹
洪天祥	洪金宝	父母	父母
洪天祥	洪金宝	父母	父母
张洛君	马国贤	合作	合作
李子君	耿冰娃	夫妻	合作
常宝霆	常宝堃	兄弟姐妹	兄弟姐妹
梁红玉	韩世忠	夫妻	夫妻
胡松华	张曼茹	夫妻	夫妻
张菲	张小燕	合作	好友
郭晋安	欧倩怡	夫妻	夫妻
陈美琪	马清伟	夫妻	夫妻
赵一荻	张学良	夫妻	夫妻
张桂凤	吕瑞英	合作	合作
傅全香	徐玉兰	合作	合作
袁雪芬	范瑞娟	合作	合作
王祖贤	齐秦	夫妻	情侣
关羽	关兴	父母	父母
段誉	段延庆	夫妻	父母
徐丽丽	徐玉华	夫妻	兄弟姐妹
周继红	田秉毅	夫妻	夫妻
慕容仁	慕容皝	父母	兄弟姐妹
梁思成	林徽因	夫妻	夫妻
赵忠尧	密立根	夫妻	师生
谢晖	佟晨洁	夫妻	夫妻
张琼华	郭沫若	夫妻	夫妻
密春雷	董卿	夫妻	情侣
陈洁如	蒋介石	夫妻	夫妻
翁家明	俞小凡	夫妻	夫妻
大S	仔仔	夫妻	情侣
李光洁	郝蕾	夫妻	夫妻
吴洁华	贾君	父母	父母
连战	连惠心	父母	父母
连惠心	连胜武	父母	兄弟姐妹
赵本山	小沈阳	师生	师生
高竣熙	李肖逸	夫妻	同门
吕雉	刘邦	夫妻	夫妻
诸葛梓岐	薛嘉麟	夫妻	情侣
罗福苌	罗振玉	父母	父母
罗振玉	罗福颐	父母	父母
赵霞彰	杨宝森	夫妻	夫妻
袁茵	侯耀文	夫妻	夫妻
梁思成	林徽因	夫妻	夫妻
孟小冬	梅兰芳	夫妻	情侣
洪敬尧	洪荣宏	兄弟姐妹	兄弟姐妹
孙甜甜	李婷	合作	合作
朱岚	陶勇	夫妻	夫妻
文洁若	萧干	夫妻	夫妻
朱剑凡	朱仲丽	夫妻	父母
杨绛	钱钟书	夫妻	夫妻
孙新	孙立	兄弟姐妹	兄弟姐妹
解宝	解珍	兄弟姐妹	兄弟姐妹
许爱周	许晋亨	父母	祖孙
许爱周	许士芬	父母	父母
许晋亨	李嘉欣	夫妻	夫妻
许士芬	许世勋	父母	兄弟姐妹
赵本山	小沈阳	师生	师生
张进见	陶素莲	师生	合作
马思纯	蒋雯丽	夫妻	亲戚
李元霸	李渊	父母	父母
吕雉	刘邦	夫妻	夫妻
吕后	刘邦	夫妻	夫妻
傅声	张震声	夫妻	兄弟姐妹
周继红	田秉毅	夫妻	夫妻
沈伐	刘德一	师生	合作
彭德怀	彭梅魁	夫妻	亲戚
鲍金龙	傅全香	合作	师生
杜均堂	杜笃之	夫妻	父母
王占元	李纯	父母	同门
张末	张艺谋	父母	父母
李菁	何云伟	合作	合作
孙正阳	罗文奎	师生	师生
山中鹿之介	立原久纲	父母	亲戚
于涛	任讷	夫妻	夫妻
谢天华	李天恩	夫妻	夫妻
佟守本	汪恩禄	合作	合作
彭德怀	彭梅魁	夫妻	亲戚
陈香梅	陈纳德	夫妻	夫妻
郭襄	郭靖	父母	父母
蒋勤勤	陈建斌	夫妻	夫妻
慕容盛	兰穆	父母	亲戚
关羽	关兴	父母	父母
俞扬和	蒋孝章	父母	夫妻
哈文	李咏	夫妻	夫妻
钱学森	钱永健	夫妻	亲戚
林艾为	林心如	兄弟姐妹	兄弟姐妹
毛岸英	刘思齐	夫妻	夫妻
郑洁	李娜	合作	合作
邓拓	邓小岚	父母	父母
孙甜甜	李婷	合作	合作
林月云	侯佩岑	父母	父母
汪道涵	汪雨	夫妻	父母
臧天朔	斯琴格日乐	夫妻	情侣
刘秀	阴丽华	夫妻	夫妻
李甲	杜十娘	父母	情侣
林月云	侯佩岑	夫妻	父母
孔继宁	孔令华	父母	父母
孔令华	孔从洲	父母	父母
司马炎	左芬	兄弟姐妹	夫妻
赖俊健	赖昌星	父母	父母
刘袭	刘曜	父母	父母
苗侨伟	戚美珍	夫妻	夫妻
孙芸芸	何念慈	父母	父母
王政	罗静虹	夫妻	夫妻
戴乃迭	杨宪益	夫妻	夫妻
张菲	费贞绫	兄弟姐妹	兄弟姐妹
冯珏	冯友兰	父母	祖孙
蒋勤勤	陈建斌	夫妻	夫妻
高志鹏	李婉钰	夫妻	情侣
林立果	林彪	父母	父母
耿飚	赵兰香	夫妻	夫妻
周有光	张允和	夫妻	夫妻
黄希庭	张进辅	合作	合作
松赞干布	文成公主	夫妻	夫妻
徐秋京	徐立清	父母	父母
梁红玉	韩世忠	夫妻	夫妻
王小波	李银河	夫妻	夫妻
蒙嘉慧	郑伊健	夫妻	情侣
林建岳	林孝贤	父母	父母
金日成	金正男	兄弟姐妹	祖孙
莫言	管笑笑	父母	父母
关楚耀	卫诗	情侣	情侣
周芷若	张无忌	夫妻	夫妻
陈祖涛	陈昌浩	父母	父母
张三丰	宋远桥	夫妻	师生
吴承瑛	吴郁生	父母	祖孙
吉增和	孟广美	情侣	情侣
肖桂云	李前宽	夫妻	夫妻
谢杏芳	张宁	夫妻	合作
刘永好	刘永行	兄弟姐妹	兄弟姐妹
王祖贤	齐秦	情侣	情侣
孙之俊	丁冷	夫妻	兄弟姐妹
杨步伟	赵元任	夫妻	夫妻
刘雪华	邓育昆	夫妻	夫妻
田连元	叶怡均	师生	师生
任剑辉	芳艳芬	合作	合作
林艾为	林心如	兄弟姐妹	兄弟姐妹
巩汉林	潘长江	父母	合作
郭凯伦	郭艾伦	亲戚	兄弟姐妹
郭凯伦	郭士强	亲戚	亲戚
付辛博	BOBO组合	夫妻	合作
吕正操	吕彤羽	父母	父母
华天	罗山	夫妻	父母
陈竺	陈赛娟	夫妻	夫妻
黄美芸	高锟	夫妻	夫妻
虞姬	项羽	父母	夫妻
苏增福	苏显泽	父母	父母
曹植	曹丕	父母	兄弟姐妹
刘备	刘禅	夫妻	父母
叶群	林立果	父母	父母
林立果	林彪	父母	父母
李元霸	李渊	夫妻	父母
田汉	安娥	夫妻	夫妻
Selina	任容萱	夫妻	兄弟姐妹
五月天	阿信	夫妻	合作
五月天	陈信宏	夫妻	合作
施银花	姚水娟	合作	同门
施银花	屠杏花	合作	合作
杨步伟	赵元任	夫妻	夫妻
慈禧	同治	合作	父母
吴承瑛	吴郁生	父母	祖孙
卢俊义	燕青	父母	上下级
王景山	花淑兰	夫妻	夫妻
杨绛	钱钟书	夫妻	夫妻
周有光	张允和	夫妻	夫妻
张茜	张卫健	夫妻	夫妻
牛魔王	铁扇公主	夫妻	夫妻
曹宪	金乡公主	父母	兄弟姐妹
刘邦	吕后	夫妻	夫妻
刘邦	吕雉	夫妻	夫妻
刘伯明	翟志刚	夫妻	合作
景海鹏	翟志刚	夫妻	合作
庞君	杨化然	同门	同门
佟守本	杨化然	同门	师生
傅小石	王汝瑜	夫妻	夫妻
蔡志明	蔡加敏	父母	父母
宋祖英	宋佳玲	夫妻	兄弟姐妹
黄兴	徐宗汉	夫妻	夫妻
李嘉欣	许晋亨	夫妻	夫妻
叶志铭	叶崇仁	父母	父母
叶崇仁	叶玉卿	父母	亲戚
郑少秋	郑咏恩	父母	父母
王定国	谢觉哉	夫妻	夫妻
赵本山	小沈阳	师生	师生
凌潇肃	唐一菲	夫妻	夫妻
依田纪基	安藤武夫	师生	师生
李宁	陈永妍	夫妻	夫妻
吴建豪	言承旭	情侣	合作
薛明	贺龙	夫妻	夫妻
汪涵	杨乐乐	夫妻	夫妻
杨绍明	杨尚昆	父母	父母
刘之冰	茹萍	夫妻	夫妻
高凤岭	林信斋	师生	师生
胡瓜	丁柔安	夫妻	情侣
刘嘉玲	梁朝伟	夫妻	夫妻
朱宏钧	白岩松	夫妻	夫妻
梁思成	林徽因	夫妻	夫妻
梁红玉	韩世忠	夫妻	夫妻
杜丽	庞伟	夫妻	夫妻
郭启儒	侯宝林	合作	合作
杨绛	钱钟书	夫妻	夫妻
傅冬菊	傅作义	父母	父母
关楚耀	卫诗	合作	情侣
陈香梅	陈纳德	夫妻	夫妻
蒋雯丽	马思纯	夫妻	亲戚
黄睿靓	陈致中	父母	夫妻
黄睿靓	陈水扁	父母	父母
黄睿靓	陈幸妤	父母	亲戚
吴淑珍	陈水扁	父母	夫妻
陈水扁	陈幸妤	父母	父母
孙鲁班	孙鲁育	父母	兄弟姐妹
朱熊	孙鲁育	父母	父母
李光	沈健瑾	父母	夫妻
连阔如	连丽如	父母	父母
袁剑伟	林嘉欣	夫妻	夫妻
张兆和	沈从文	夫妻	夫妻
李戡	李敖	夫妻	父母
王重阳	丘处机	父母	师生
聂鸿仪	聂耳	父母	父母
施银花	屠杏花	夫妻	合作
吴普	华佗	父母	师生
叶莉	姚明	夫妻	夫妻
鲁迅	周建人	兄弟姐妹	兄弟姐妹
许广平	周建人	兄弟姐妹	兄弟姐妹
犬夜叉	杀生丸	父母	兄弟姐妹
梁欢	谌容	兄弟姐妹	父母
谌容	梁左	兄弟姐妹	父母
薄小莹	薄一波	父母	父母
李双泽	胡德夫	夫妻	好友
陈洁如	蒋介石	夫妻	夫妻
邓枢	邓丽君	父母	父母
邓长顺	邓丽君	父母	兄弟姐妹
陈立夫	陈果夫	夫妻	兄弟姐妹
哈文	李咏	夫妻	夫妻
元彪	成龙	同门	同门
元彪	元奎	同门	合作
元彪	元华	同门	合作
洪金宝	元奎	同门	同门
施小墨	施今墨	父母	父母
包庭政	包伟铭	父母	父母
马佳	林桂兰	合作	师生
毛俊辉	胡美仪	夫妻	夫妻
朱泳腾	兰雨霖	夫妻	夫妻
唐玄宗	安禄山	父母	上下级
宋耀如	倪桂珍	父母	夫妻
薛姨妈	王子腾	兄弟姐妹	兄弟姐妹
梁静慈	甄子丹	夫妻	夫妻
张路	吴玉芳	夫妻	夫妻
元彪	成龙	同门	同门
元彪	元奎	同门	合作
元彪	元华	同门	合作
元奎	洪金宝	同门	同门
孙中山	宋庆龄	父母	夫妻
杨振德	邓颖超	夫妻	父母
洪敬尧	洪荣宏	兄弟姐妹	兄弟姐妹
常连安	常宝霖	合作	父母
李子君	耿冰娃	夫妻	合作
苏志燮	宋承宪	夫妻	好友
白炎	彦涵	父母	夫妻
段誉	段正淳	父母	父母
段誉	段延庆	父母	父母
金乡公主	曹宪	兄弟姐妹	兄弟姐妹
李焕弟	关肃霜	师生	师生
金俊秀	金俊浩	夫妻	兄弟姐妹
郭晓玲	郭守正	父母	兄弟姐妹
侯耀华	侯宝林	兄弟姐妹	父母
芳艳芬	任剑辉	合作	合作
权甲龙	姜东润	师生	师生
李小双	李大双	夫妻	兄弟姐妹
杨小娟	吕良伟	夫妻	夫妻
吉增和	孟广美	情侣	情侣
唐生明	唐生智	父母	兄弟姐妹
赵一荻	张学良	夫妻	夫妻
周洋	周继文	父母	父母
陈玉锵	陈雨亭	父母	父母
李菁	何云伟	合作	合作
李菁	高峰	合作	同门
馀紫云	馀三胜	父母	父母
馀三胜	馀胜荪	父母	祖孙
李泽楷	梁洛施	情侣	情侣
刘璩	刘禅	父母	父母
刘谌	刘禅	父母	父母
刘恂	刘禅	父母	父母
刘禅	刘瓒	父母	父母
邓乙芳	邓肇坚	父母	父母
王靖雄	王令尘	父母	父母
刘雪华	邓育昆	夫妻	夫妻
郭台铭	黄子容	父母	父母
范志毅	李茏怡	夫妻	夫妻
冯巩	牛群	合作	合作
郑在成	李龙大	合作	合作
黄承彦	黄月英	夫妻	父母
阮小五	阮小七	兄弟姐妹	兄弟姐妹
张嘉倪	杜淳	情侣	情侣
苗侨伟	苗彤	父母	父母
陈水扁	陈幸妤	父母	父母
王宝强	马蓉	夫妻	夫妻
洪秀全	杨秀清	上下级	上下级
郑曼青	杨澄甫	师生	师生
陆云	陆机	兄弟姐妹	兄弟姐妹
刘嘉玲	梁朝伟	夫妻	夫妻
李嘉欣	许晋亨	父母	夫妻
胡中惠	郭麒麟	夫妻	父母
胡中惠	郭德纲	父母	夫妻
高志鹏	李婉钰	情侣	情侣
郭守正	郭晓玲	兄弟姐妹	兄弟姐妹
张三丰	宋远桥	夫妻	师生
齐春雷	方亚芬	合作	合作
李暹	李豫	父母	父母
姜武	姜文	夫妻	兄弟姐妹
周嘉威	施闻	夫妻	夫妻
谷羽	胡乔木	夫妻	夫妻
彭小枫	彭雪枫	父母	父母
黄美芸	高锟	夫妻	夫妻
谢娜	张杰	夫妻	夫妻
郝治平	罗瑞卿	夫妻	夫妻
爱德华四世	爱德华五世	父母	父母
薄熙来	薄熙永	父母	兄弟姐妹
薄熙永	薄熙莹	父母	兄弟姐妹
吴淑珍	陈水扁	父母	夫妻
陈水扁	陈幸妤	父母	父母
李元吉	唐太宗	父母	兄弟姐妹
唐太宗	长孙皇后	父母	夫妻
陈发科	陈长兴	兄弟姐妹	祖孙
白全福	郭全宝	合作	合作
武则天	太平公主	夫妻	父母
高少亭	焦麟昆	合作	合作
贾敬	贾代化	父母	父母
韦小宝	曾柔	夫妻	夫妻
黄兴	徐宗汉	夫妻	夫妻
吴法宪	林彪	父母	合作
赵霞彰	杨宝森	父母	夫妻
杨宝森	杨珉	父母	父母
周嘉威	施闻	夫妻	夫妻
郑咏恩	郑少秋	父母	父母
李嘉欣	许晋亨	父母	夫妻
连震东	赵兰坤	夫妻	夫妻
刘晓庆	王晓玉	夫妻	夫妻
湖阳公主	刘秀	夫妻	兄弟姐妹
严宽	杜晓婷	夫妻	情侣
吴绮莉	叶崇仁	情侣	情侣
朱宏钧	白岩松	夫妻	夫妻
魏轶力	张洁雯	合作	合作
言承旭	关颖	情侣	情侣
田秉毅	李永波	夫妻	合作
李泽楷	梁洛施	父母	情侣
俞曲园	俞平伯	父母	祖孙
诸葛瞻	诸葛亮	父母	父母
黄承彦	黄月英	夫妻	父母
松赞干布	文成公主	夫妻	夫妻
马玉成	程小东	师生	师生
傅声	张震声	夫妻	兄弟姐妹
曹郁	姚晨	情侣	夫妻
郑光策	林则徐	夫妻	师生
马伊琍	文章	夫妻	夫妻
鲍蕾	陆毅	夫妻	夫妻
朱咏婷	谭咏麟	夫妻	情侣
张兆和	沈从文	夫妻	夫妻
张菲	费贞绫	兄弟姐妹	兄弟姐妹
范瑞娟	袁雪芬	合作	合作
贾赦	贾政	夫妻	兄弟姐妹
崔世安	霍慧芬	夫妻	夫妻
吴法宪	林彪	父母	合作
徐丽丽	徐玉华	合作	兄弟姐妹
叶剑波	陈惠红	父母	夫妻
郑在成	李龙大	夫妻	合作
邓伟	李可染	夫妻	师生
李嘉欣	许晋亨	夫妻	夫妻
山中鹿之介	立原久纲	夫妻	亲戚
张皇后	刘禅	父母	夫妻
贾代善	贾政	父母	父母
李嘉欣	许晋亨	父母	夫妻
郑少秋	郑咏恩	父母	父母
彭德怀	彭梅魁	夫妻	亲戚
侯耀文	袁茵	夫妻	夫妻
岸边成雄	三上次男	合作	同门
松赞干布	文成公主	夫妻	夫妻
荀氏	陈群	父母	父母
黄睿靓	陈致中	父母	夫妻
黄睿靓	陈水扁	父母	父母
郭启儒	郭全宝	合作	合作
郭启儒	侯宝林	合作	合作
李彦宏	马东敏	夫妻	夫妻
吕凤子	梁邦楚	师生	师生
何政军	何雨果	夫妻	父母
林立果	林彪	父母	父母
马廷强	黎姿	夫妻	夫妻
乔冠华	龚澎	夫妻	夫妻
陈洁如	蒋介石	夫妻	夫妻
蒋介石	宋美龄	父母	夫妻
蒋纬国	姚怡琴	夫妻	父母
施小墨	施今墨	父母	父母
包玉刚	吴光正	父母	父母
赵本山	小沈阳	师生	师生
蒙嘉慧	郑伊健	情侣	情侣
陈洁如	蒋介石	夫妻	夫妻
卢西亚娜	伊瓜因	情侣	情侣
万绮雯	甄子丹	夫妻	情侣
茹志娟	邓友梅	夫妻	同门
姜大卫	秦沛	兄弟姐妹	兄弟姐妹
严化	红薇	父母	夫妻
唐太宗	长孙无忌	夫妻	兄弟姐妹
王光亚	杨洁篪	夫妻	同门
王熙凤	邢夫人	夫妻	父母
欧倩怡	郭晋安	兄弟姐妹	夫妻
段誉	段延庆	父母	父母
冼干持	白雪仙	师生	师生
侯耀文	牛成志	师生	上下级
鲍蕾	陆毅	夫妻	夫妻
鲍莉	陆毅	兄弟姐妹	兄弟姐妹
薄熙来	薄瓜瓜	父母	父母
李丹宇	李望知	父母	父母
蒋勤勤	陈建斌	夫妻	夫妻
朱凤玲	王德显	夫妻	夫妻
陈洁如	蒋介石	夫妻	夫妻
杨小娟	吕良伟	夫妻	夫妻
霍启山	霍英东	兄弟姐妹	祖孙
林孝贤	林建岳	父母	父母
郭艾伦	郭凯伦	父母	兄弟姐妹
郭士强	郭凯伦	父母	亲戚
钟腾福	张洁雯	合作	夫妻
傅小石	王汝瑜	夫妻	夫妻
惜春	贾敬	夫妻	父母
麦浚龙	麦绍棠	夫妻	父母
徐天红	竺水招	合作	合作
郭德纲	胡中惠	夫妻	夫妻
曾明娜	赖昌星	父母	夫妻
赖昌星	赖俊健	父母	父母
胡瓜	丁柔安	夫妻	情侣
苗彤	苗侨伟	情侣	父母
安贞焕	李惠媛	夫妻	夫妻
蒋勤勤	陈建斌	夫妻	夫妻
李渊	唐太宗	父母	父母
刘邦	吕雉	夫妻	夫妻
成龙	房祖名	情侣	父母
成龙	林凤娇	情侣	夫妻
房祖名	林凤娇	父母	父母
许金彩	徐天红	合作	合作
徐天红	毕春芳	合作	合作
虚竹	玄慈	父母	父母
元彪	成龙	同门	同门
杜丽	庞伟	夫妻	夫妻
宋美龄	蒋介石	父母	夫妻
大乔	孙策	兄弟姐妹	夫妻
傅志寰	刘志军	夫妻	情侣
李圣根	晏紫	夫妻	夫妻
彭德怀	彭梅魁	夫妻	亲戚
卞学鐄	赵元任	夫妻	父母
夏凌翔	黄希庭	夫妻	合作
王浩信	陈自瑶	情侣	夫妻
李戡	李敖	父母	父母
陆士嘉	张维	夫妻	夫妻
贺龙	蹇先任	夫妻	夫妻
张东健	高小英	夫妻	夫妻
中村狮童	竹内结子	情侣	夫妻
陈数	赵胤胤	合作	夫妻
林黛玉	贾雨村	父母	师生
翁家明	俞小凡	夫妻	夫妻
房道龙	房仕胜	父母	父母
梁伯熙	陈肖霞	师生	师生
陈伟华	陈云	父母	父母
李菁	何云伟	合作	合作
小龙女	杨过	夫妻	夫妻
陈香梅	陈纳德	夫妻	夫妻
沈尹默	沈兼士	兄弟姐妹	兄弟姐妹
黄志忠	何音	夫妻	夫妻
李大双	李小双	夫妻	兄弟姐妹
陈竺	陈赛娟	夫妻	夫妻
周磊	孟瑶	夫妻	夫妻
段誉	段正淳	父母	父母
段誉	段延庆	父母	父母
陈玉成	陈得才	合作	亲戚
女娲	伏羲	父母	夫妻
韩尚勋	金原	夫妻	师生
麦浚龙	麦绍棠	夫妻	父母
吕后	刘邦	夫妻	夫妻
钱思亮	钱复	父母	父母
钱思亮	钱纯	父母	父母
钱思亮	钱煦	父母	父母
汤君年	汤子嘉	夫妻	父母
张茜	张卫健	夫妻	夫妻
小龙女	杨过	夫妻	夫妻
江世俊	江上青	父母	兄弟姐妹
江泽民	江上青	父母	父母
房玄龄	杜如晦	父母	合作
罗雪娟	卢晓	父母	情侣
林梦飞	林华国	父母	父母
聂鸿仪	聂耳	父母	父母
王梓木	敬一丹	夫妻	夫妻
姚玉兰	杜月笙	父母	夫妻
项羽	虞姬	夫妻	夫妻
慕容盛	慕容垂	父母	祖孙
小龙女	杨过	夫妻	夫妻
周汤豪	比莉	夫妻	父母
孙中山	宋庆龄	夫妻	夫妻
项燕	项羽	父母	祖孙
刘半农	刘北茂	夫妻	兄弟姐妹
刘半农	刘育熙	夫妻	亲戚
曹芳	曹楷	父母	父母
梁静慈	甄子丹	夫妻	夫妻
曾明娜	赖昌星	父母	夫妻
焦裕禄	焦守云	父母	父母
曾参	孔子	夫妻	师生
郭启儒	郭全宝	合作	合作
郭启儒	侯宝林	合作	合作
马伊琍	文章	夫妻	夫妻
王傲山	李彩桦	夫妻	情侣
于涛	任讷	夫妻	夫妻
沈周	沈括	父母	父母
赵雅芝	黄汉伟	夫妻	夫妻
女娲	伏羲	夫妻	夫妻
徐悲鸿	蒋碧微	夫妻	夫妻
周芷若	张无忌	师生	夫妻
孝贤纯皇后	傅恒	兄弟姐妹	兄弟姐妹
赵岭	袁立	夫妻	夫妻
俞振飞	俞粟庐	师生	父母
罗嘉良	苏岩	情侣	夫妻
陈洁如	蒋介石	夫妻	夫妻
炎樱	张爱玲	夫妻	好友
鲁迅	周作人	夫妻	兄弟姐妹
陶大宇	黄慧宝	夫妻	夫妻
金日成	金正男	父母	祖孙
权甲龙	李世石	父母	师生
李宁	陈永妍	夫妻	夫妻
梁亚兰	萧红	夫妻	父母
林青霞	邢李源	夫妻	夫妻
史太公	史进	父母	父母
王祖贤	齐秦	情侣	情侣
刘世定	刘文辉	父母	祖孙
张桂凤	吕瑞英	合作	合作
薛世恒	陈法拉	父母	情侣
郑在成	李龙大	合作	合作
陈祖涛	陈昌浩	夫妻	父母
董小宛	冒辟疆	父母	夫妻
刘雪华	邓育昆	夫妻	夫妻
彭帅	谢淑薇	合作	合作
姜昆	戴志诚	合作	合作
曹植	曹丕	父母	兄弟姐妹
曹植	曹操	父母	父母
梁左	谌容	兄弟姐妹	父母
谌容	梁欢	兄弟姐妹	父母
鲍莉	陆毅	夫妻	兄弟姐妹
佐藤屋登	蒋百里	夫妻	夫妻
张茜	张卫健	夫妻	夫妻
李德钖	徐有禄	师生	师生
阮兆祥	薛家燕	夫妻	好友
韩乔生	王梁	夫妻	合作
郑在成	李龙大	夫妻	合作
郑涌	黄希庭	合作	合作
梁伯熙	陈肖霞	师生	师生
陈道明	杜宪	夫妻	夫妻
肖桂云	李前宽	夫妻	夫妻
赵本山	小沈阳	师生	师生
许爱周	许晋亨	父母	祖孙
许爱周	许士芬	父母	父母
许晋亨	李嘉欣	夫妻	夫妻
许士芬	许世勋	父母	兄弟姐妹
叶群	林立果	父母	父母
林彪	林立果	父母	父母
林艾为	林心如	兄弟姐妹	兄弟姐妹
鲍蕾	陆毅	夫妻	夫妻
贾赦	贾政	父母	兄弟姐妹
吴慈美	林志玲	夫妻	父母
王丹丁	王明	父母	父母
